param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 99.51482733610798
WIND 2 87.7157257544186
WIND 3 74.83187369496595
WIND 4 61.11854135775763
WIND 5 41.74990173269802
WIND 6 41.40521862565749
WIND 7 29.02509047864195
WIND 8 35.54823965358853
WIND 9 11.91251659922232
WIND 10 2.655831494673743
WIND 11 0.31751349855623234
WIND 12 0.40081689772174234
WIND 13 0.19758854206736487
WIND 14 0.26094312174581663
WIND 15 1.14072264665694
WIND 16 3.6382610295314692
WIND 17 30.242783678347447
WIND 18 35.009399489366835
WIND 19 51.08334018401008
WIND 20 45.940618728408
WIND 21 62.159794097185994
WIND 22 83.22623486531728
WIND 23 96.17170201251187
WIND 24 103.877214823766
WIND 25 103.877214823766
WIND 26 103.877214823766
WIND 27 103.877214823766
WIND 28 103.877214823766
WIND 29 103.877214823766
WIND 30 103.877214823766
WIND 31 103.877214823766
WIND 32 103.877214823766
WIND 33 103.877214823766
WIND 34 103.877214823766
WIND 35 103.877214823766
WIND 36 103.877214823766
WIND 37 103.877214823766
WIND 38 103.877214823766
WIND 39 103.877214823766
WIND 40 103.877214823766
WIND 41 103.877214823766
WIND 42 103.877214823766
WIND 43 103.877214823766
WIND 44 103.877214823766
WIND 45 103.877214823766
WIND 46 103.877214823766
WIND 47 103.877214823766
WIND 48 103.877214823766
;


