param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 141.8402387933152
WIND 2 145.07749173808665
WIND 3 139.97613626484585
WIND 4 128.46673900903667
WIND 5 116.44125622115912
WIND 6 151.02717256100695
WIND 7 139.28930354467778
WIND 8 153.29132415238232
WIND 9 111.91729515516884
WIND 10 105.23069695454825
WIND 11 102.37396017412664
WIND 12 156.49082064151855
WIND 13 97.21864673516721
WIND 14 87.57022943062887
WIND 15 149.9318427489786
WIND 16 108.67806154973482
WIND 17 162.1196633593109
WIND 18 105.43341494165412
WIND 19 137.23439648481818
WIND 20 153.72676171511526
WIND 21 157.18826215714708
WIND 22 155.01616581640712
WIND 23 150.56970754582338
WIND 24 143.6514363975217
WIND 25 143.6514363975217
WIND 26 143.6514363975217
WIND 27 143.6514363975217
WIND 28 143.6514363975217
WIND 29 143.6514363975217
WIND 30 143.6514363975217
WIND 31 143.6514363975217
WIND 32 143.6514363975217
WIND 33 143.6514363975217
WIND 34 143.6514363975217
WIND 35 143.6514363975217
WIND 36 143.6514363975217
WIND 37 143.6514363975217
WIND 38 143.6514363975217
WIND 39 143.6514363975217
WIND 40 143.6514363975217
WIND 41 143.6514363975217
WIND 42 143.6514363975217
WIND 43 143.6514363975217
WIND 44 143.6514363975217
WIND 45 143.6514363975217
WIND 46 143.6514363975217
WIND 47 143.6514363975217
WIND 48 143.6514363975217
;


