param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 28.258940956523066
WIND 2 22.177307934344885
WIND 3 18.434190915492817
WIND 4 22.76812637471544
WIND 5 12.191989539677332
WIND 6 11.864252133335778
WIND 7 4.587057056730782
WIND 8 11.237443076689635
WIND 9 1.6893288283539905
WIND 10 0.020659993383782195
WIND 11 7.997109895541143e-06
WIND 12 0.00022182500009932933
WIND 13 0.005072965948875209
WIND 14 0.0026839804549808836
WIND 15 0.0844714710111532
WIND 16 0.4248231175017451
WIND 17 9.414176613821395
WIND 18 10.349050054427085
WIND 19 21.48544085460751
WIND 20 17.69985453900704
WIND 21 16.980669060845596
WIND 22 17.63089984213959
WIND 23 23.358582777211794
WIND 24 18.595944392444718
WIND 25 18.595944392444718
WIND 26 18.595944392444718
WIND 27 18.595944392444718
WIND 28 18.595944392444718
WIND 29 18.595944392444718
WIND 30 18.595944392444718
WIND 31 18.595944392444718
WIND 32 18.595944392444718
WIND 33 18.595944392444718
WIND 34 18.595944392444718
WIND 35 18.595944392444718
WIND 36 18.595944392444718
WIND 37 18.595944392444718
WIND 38 18.595944392444718
WIND 39 18.595944392444718
WIND 40 18.595944392444718
WIND 41 18.595944392444718
WIND 42 18.595944392444718
WIND 43 18.595944392444718
WIND 44 18.595944392444718
WIND 45 18.595944392444718
WIND 46 18.595944392444718
WIND 47 18.595944392444718
WIND 48 18.595944392444718
;


