param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 117.7419003943905
WIND 2 125.61303576228336
WIND 3 124.5677684674827
WIND 4 129.87912248739377
WIND 5 123.86376327798938
WIND 6 148.10352626129426
WIND 7 137.27385308900315
WIND 8 174.1262019245296
WIND 9 111.45378665404371
WIND 10 103.20251502183896
WIND 11 89.54925305671452
WIND 12 139.84716211787304
WIND 13 96.47605473642508
WIND 14 95.22224000003399
WIND 15 157.860195006019
WIND 16 106.82476036222357
WIND 17 173.27556424095894
WIND 18 105.99999875665831
WIND 19 139.76400091190726
WIND 20 152.9305211778215
WIND 21 150.8342141217192
WIND 22 141.16919625380206
WIND 23 141.71181535758757
WIND 24 139.26520814306227
WIND 25 139.26520814306227
WIND 26 139.26520814306227
WIND 27 139.26520814306227
WIND 28 139.26520814306227
WIND 29 139.26520814306227
WIND 30 139.26520814306227
WIND 31 139.26520814306227
WIND 32 139.26520814306227
WIND 33 139.26520814306227
WIND 34 139.26520814306227
WIND 35 139.26520814306227
WIND 36 139.26520814306227
WIND 37 139.26520814306227
WIND 38 139.26520814306227
WIND 39 139.26520814306227
WIND 40 139.26520814306227
WIND 41 139.26520814306227
WIND 42 139.26520814306227
WIND 43 139.26520814306227
WIND 44 139.26520814306227
WIND 45 139.26520814306227
WIND 46 139.26520814306227
WIND 47 139.26520814306227
WIND 48 139.26520814306227
;


