param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 100;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 4)
  3 (1, 17)
  4 (1, 13)
  5 (1, 12)
  6 (2, 3)
  7 (2, 19)
  8 (2, 11)
  9 (2, 4)
  10 (2, 13)
  11 (2, 7)
  12 (2, 17)
  13 (2, 20)
  14 (3, 4)
  15 (3, 16)
  16 (3, 18)
  17 (3, 12)
  18 (3, 9)
  19 (4, 5)
  20 (4, 19)
  21 (4, 3)
  22 (4, 12)
  23 (4, 15)
  24 (4, 10)
  25 (5, 6)
  26 (5, 8)
  27 (5, 3)
  28 (5, 12)
  29 (5, 1)
  30 (5, 11)
  31 (5, 9)
  32 (6, 7)
  33 (6, 3)
  34 (6, 15)
  35 (6, 18)
  36 (6, 10)
  37 (6, 11)
  38 (7, 8)
  39 (7, 5)
  40 (7, 15)
  41 (7, 12)
  42 (7, 20)
  43 (7, 9)
  44 (7, 6)
  45 (7, 13)
  46 (8, 9)
  47 (8, 19)
  48 (8, 1)
  49 (8, 5)
  50 (8, 7)
  51 (8, 12)
  52 (8, 14)
  53 (9, 10)
  54 (9, 11)
  55 (9, 16)
  56 (9, 7)
  57 (9, 17)
  58 (9, 20)
  59 (10, 11)
  60 (10, 14)
  61 (10, 15)
  62 (11, 12)
  63 (11, 13)
  64 (11, 17)
  65 (11, 8)
  66 (11, 1)
  67 (12, 13)
  68 (12, 9)
  69 (12, 8)
  70 (12, 4)
  71 (12, 18)
  72 (13, 14)
  73 (13, 18)
  74 (13, 2)
  75 (13, 16)
  76 (13, 19)
  77 (13, 5)
  78 (13, 12)
  79 (14, 15)
  80 (14, 5)
  81 (14, 20)
  82 (14, 3)
  83 (15, 16)
  84 (15, 18)
  85 (15, 13)
  86 (15, 5)
  87 (16, 17)
  88 (16, 11)
  89 (16, 15)
  90 (16, 8)
  91 (16, 12)
  92 (16, 19)
  93 (17, 18)
  94 (17, 15)
  95 (17, 7)
  96 (17, 16)
  97 (17, 4)
  98 (17, 13)
  99 (17, 2)
  100 (17, 14)
  101 (17, 8)
  102 (18, 19)
  103 (18, 5)
  104 (18, 7)
  105 (18, 11)
  106 (18, 12)
  107 (18, 14)
  108 (19, 20)
  109 (19, 6)
  110 (19, 2)
  111 (19, 4)
  112 (19, 16)
  113 (19, 14)
  114 (19, 10)
  115 (20, 1)
  116 (20, 8)
  117 (20, 9)
  118 (20, 3)
  119 (20, 18)
  120 (20, 14)
;
param NodesCommoditiesDemand :=
  20 1 79.14818362885023
  1 1 -79.14818362885023
  11 2 39.07487642179069
  3 2 -39.07487642179069
  10 3 92.78897736255753
  4 3 -92.78897736255753
  20 4 46.35535755944309
  11 4 -46.35535755944309
  2 5 60.48591370666544
  3 5 -60.48591370666544
  9 6 88.16212974194912
  14 6 -88.16212974194912
  15 7 69.77234682225858
  14 7 -69.77234682225858
  10 8 84.76716540790056
  20 8 -84.76716540790056
  5 9 71.6127518875959
  10 9 -71.6127518875959
  11 10 84.72760129697329
  20 10 -84.72760129697329
  20 11 42.39417674379341
  10 11 -42.39417674379341
  4 12 25.515811311580514
  17 12 -25.515811311580514
  15 13 107.41844893862246
  16 13 -107.41844893862246
  18 14 119.90638148684478
  20 14 -119.90638148684478
  13 15 30.90654996432312
  5 15 -30.90654996432312
  9 16 43.519886542307894
  18 16 -43.519886542307894
  5 17 36.32872847461263
  8 17 -36.32872847461263
  16 18 108.0757550662767
  18 18 -108.0757550662767
  6 19 21.928202746875247
  5 19 -21.928202746875247
  2 20 68.27240586096735
  19 20 -68.27240586096735
  9 21 20.496865409935715
  13 21 -20.496865409935715
  15 22 111.2493486542789
  5 22 -111.2493486542789
  20 23 60.87803159364841
  5 23 -60.87803159364841
  1 24 84.68125999758256
  13 24 -84.68125999758256
  9 25 59.98368975232945
  17 25 -59.98368975232945
  5 26 83.86244650441806
  7 26 -83.86244650441806
  20 27 107.24185178643302
  17 27 -107.24185178643302
  12 28 36.11681833593646
  11 28 -36.11681833593646
  16 29 53.877448036776855
  17 29 -53.877448036776855
  12 30 76.31804568698118
  7 30 -76.31804568698118
  10 31 30.529988890284514
  12 31 -30.529988890284514
  16 32 41.91855020875854
  12 32 -41.91855020875854
  11 33 41.35827235686139
  1 33 -41.35827235686139
  6 34 14.415123869734098
  14 34 -14.415123869734098
  7 35 86.49352032965791
  3 35 -86.49352032965791
  17 36 18.093464341744113
  19 36 -18.093464341744113
  10 37 57.20997916158087
  14 37 -57.20997916158087
  10 38 80.9588293548411
  3 38 -80.9588293548411
  2 39 105.70015126134902
  9 39 -105.70015126134902
  14 40 36.13714526717207
  18 40 -36.13714526717207
  5 41 68.31999039206394
  1 41 -68.31999039206394
  12 42 85.00459578082427
  13 42 -85.00459578082427
