param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 100;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 4)
  3 (1, 17)
  4 (1, 13)
  5 (1, 12)
  6 (2, 3)
  7 (2, 19)
  8 (2, 11)
  9 (2, 4)
  10 (2, 13)
  11 (2, 7)
  12 (2, 17)
  13 (2, 20)
  14 (3, 4)
  15 (3, 16)
  16 (3, 18)
  17 (3, 12)
  18 (3, 9)
  19 (4, 5)
  20 (4, 19)
  21 (4, 3)
  22 (4, 12)
  23 (4, 15)
  24 (4, 10)
  25 (5, 6)
  26 (5, 8)
  27 (5, 3)
  28 (5, 12)
  29 (5, 1)
  30 (5, 11)
  31 (5, 9)
  32 (6, 7)
  33 (6, 3)
  34 (6, 15)
  35 (6, 18)
  36 (6, 10)
  37 (6, 11)
  38 (7, 8)
  39 (7, 5)
  40 (7, 15)
  41 (7, 12)
  42 (7, 20)
  43 (7, 9)
  44 (7, 6)
  45 (7, 13)
  46 (8, 9)
  47 (8, 19)
  48 (8, 1)
  49 (8, 5)
  50 (8, 7)
  51 (8, 12)
  52 (8, 14)
  53 (9, 10)
  54 (9, 11)
  55 (9, 16)
  56 (9, 7)
  57 (9, 17)
  58 (9, 20)
  59 (10, 11)
  60 (10, 14)
  61 (10, 15)
  62 (11, 12)
  63 (11, 13)
  64 (11, 17)
  65 (11, 8)
  66 (11, 1)
  67 (12, 13)
  68 (12, 9)
  69 (12, 8)
  70 (12, 4)
  71 (12, 18)
  72 (13, 14)
  73 (13, 18)
  74 (13, 2)
  75 (13, 16)
  76 (13, 19)
  77 (13, 5)
  78 (13, 12)
  79 (14, 15)
  80 (14, 5)
  81 (14, 20)
  82 (14, 3)
  83 (15, 16)
  84 (15, 18)
  85 (15, 13)
  86 (15, 5)
  87 (16, 17)
  88 (16, 11)
  89 (16, 15)
  90 (16, 8)
  91 (16, 12)
  92 (16, 19)
  93 (17, 18)
  94 (17, 15)
  95 (17, 7)
  96 (17, 16)
  97 (17, 4)
  98 (17, 13)
  99 (17, 2)
  100 (17, 14)
  101 (17, 8)
  102 (18, 19)
  103 (18, 5)
  104 (18, 7)
  105 (18, 11)
  106 (18, 12)
  107 (18, 14)
  108 (19, 20)
  109 (19, 6)
  110 (19, 2)
  111 (19, 4)
  112 (19, 16)
  113 (19, 14)
  114 (19, 10)
  115 (20, 1)
  116 (20, 8)
  117 (20, 9)
  118 (20, 3)
  119 (20, 18)
  120 (20, 14)
;
param NodesCommoditiesDemand :=
  20 1 72.76244578291661
  1 1 -72.76244578291661
  11 2 31.968165148210648
  3 2 -31.968165148210648
  10 3 85.26827974347312
  4 3 -85.26827974347312
  20 4 42.470987957526866
  11 4 -42.470987957526866
  2 5 50.984971465445724
  3 5 -50.984971465445724
  9 6 86.42020511211452
  14 6 -86.42020511211452
  15 7 59.793345222600514
  14 7 -59.793345222600514
  10 8 76.33104839109231
  20 8 -76.33104839109231
  5 9 60.327037046924936
  10 9 -60.327037046924936
  11 10 79.52235729643466
  20 10 -79.52235729643466
  20 11 38.51151542660679
  10 11 -38.51151542660679
  4 12 22.979979661477678
  17 12 -22.979979661477678
  15 13 93.67924746238145
  16 13 -93.67924746238145
  18 14 94.55264583624718
  20 14 -94.55264583624718
  13 15 26.314865321759466
  5 15 -26.314865321759466
  9 16 39.07096924019052
  18 16 -39.07096924019052
  5 17 35.765508839510595
  8 17 -35.765508839510595
  16 18 93.11979298006865
  18 18 -93.11979298006865
  6 19 19.599943098750504
  5 19 -19.599943098750504
  2 20 64.58685300030794
  19 20 -64.58685300030794
  9 21 18.019038429244517
  13 21 -18.019038429244517
  15 22 101.35409865821468
  5 22 -101.35409865821468
  20 23 52.89799516186819
  5 23 -52.89799516186819
  1 24 72.08167162445902
  13 24 -72.08167162445902
  9 25 54.7352956747538
  17 25 -54.7352956747538
  5 26 78.81045536616733
  7 26 -78.81045536616733
  20 27 98.00463909057818
  17 27 -98.00463909057818
  12 28 34.04939445475927
  11 28 -34.04939445475927
  16 29 50.788004294480885
  17 29 -50.788004294480885
  12 30 71.32006537726915
  7 30 -71.32006537726915
  10 31 27.755156957568843
  12 31 -27.755156957568843
  16 32 39.16240482947943
  12 32 -39.16240482947943
  11 33 37.61112627569322
  1 33 -37.61112627569322
  6 34 13.302076527226962
  14 34 -13.302076527226962
  7 35 68.36458035847038
  3 35 -68.36458035847038
  17 36 14.165605137676906
  19 36 -14.165605137676906
  10 37 50.64813924372771
  14 37 -50.64813924372771
  10 38 70.71170927019726
  3 38 -70.71170927019726
  2 39 96.83260058671067
  9 39 -96.83260058671067
  14 40 32.499330276244706
  18 40 -32.499330276244706
  5 41 68.7616082733019
  1 41 -68.7616082733019
  12 42 82.62797755273053
  13 42 -82.62797755273053
