param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 100;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 4)
  3 (1, 17)
  4 (1, 13)
  5 (1, 12)
  6 (2, 3)
  7 (2, 19)
  8 (2, 11)
  9 (2, 4)
  10 (2, 13)
  11 (2, 7)
  12 (2, 17)
  13 (2, 20)
  14 (3, 4)
  15 (3, 16)
  16 (3, 18)
  17 (3, 12)
  18 (3, 9)
  19 (4, 5)
  20 (4, 19)
  21 (4, 3)
  22 (4, 12)
  23 (4, 15)
  24 (4, 10)
  25 (5, 6)
  26 (5, 8)
  27 (5, 3)
  28 (5, 12)
  29 (5, 1)
  30 (5, 11)
  31 (5, 9)
  32 (6, 7)
  33 (6, 3)
  34 (6, 15)
  35 (6, 18)
  36 (6, 10)
  37 (6, 11)
  38 (7, 8)
  39 (7, 5)
  40 (7, 15)
  41 (7, 12)
  42 (7, 20)
  43 (7, 9)
  44 (7, 6)
  45 (7, 13)
  46 (8, 9)
  47 (8, 19)
  48 (8, 1)
  49 (8, 5)
  50 (8, 7)
  51 (8, 12)
  52 (8, 14)
  53 (9, 10)
  54 (9, 11)
  55 (9, 16)
  56 (9, 7)
  57 (9, 17)
  58 (9, 20)
  59 (10, 11)
  60 (10, 14)
  61 (10, 15)
  62 (11, 12)
  63 (11, 13)
  64 (11, 17)
  65 (11, 8)
  66 (11, 1)
  67 (12, 13)
  68 (12, 9)
  69 (12, 8)
  70 (12, 4)
  71 (12, 18)
  72 (13, 14)
  73 (13, 18)
  74 (13, 2)
  75 (13, 16)
  76 (13, 19)
  77 (13, 5)
  78 (13, 12)
  79 (14, 15)
  80 (14, 5)
  81 (14, 20)
  82 (14, 3)
  83 (15, 16)
  84 (15, 18)
  85 (15, 13)
  86 (15, 5)
  87 (16, 17)
  88 (16, 11)
  89 (16, 15)
  90 (16, 8)
  91 (16, 12)
  92 (16, 19)
  93 (17, 18)
  94 (17, 15)
  95 (17, 7)
  96 (17, 16)
  97 (17, 4)
  98 (17, 13)
  99 (17, 2)
  100 (17, 14)
  101 (17, 8)
  102 (18, 19)
  103 (18, 5)
  104 (18, 7)
  105 (18, 11)
  106 (18, 12)
  107 (18, 14)
  108 (19, 20)
  109 (19, 6)
  110 (19, 2)
  111 (19, 4)
  112 (19, 16)
  113 (19, 14)
  114 (19, 10)
  115 (20, 1)
  116 (20, 8)
  117 (20, 9)
  118 (20, 3)
  119 (20, 18)
  120 (20, 14)
;
param NodesCommoditiesDemand :=
  20 1 69.64778065419553
  1 1 -69.64778065419553
  11 2 33.74932604031187
  3 2 -33.74932604031187
  10 3 77.59208504017676
  4 3 -77.59208504017676
  20 4 40.80847723920958
  11 4 -40.80847723920958
  2 5 49.66537605521764
  3 5 -49.66537605521764
  9 6 82.91019801900102
  14 6 -82.91019801900102
  15 7 55.53150290534172
  14 7 -55.53150290534172
  10 8 66.12895112018201
  20 8 -66.12895112018201
  5 9 57.98001344828238
  10 9 -57.98001344828238
  11 10 69.60393852200554
  20 10 -69.60393852200554
  20 11 33.60380150131772
  10 11 -33.60380150131772
  4 12 20.817368192824844
  17 12 -20.817368192824844
  15 13 94.66370582937574
  16 13 -94.66370582937574
  18 14 98.93729017433947
  20 14 -98.93729017433947
  13 15 27.359118379304192
  5 15 -27.359118379304192
  9 16 36.44469161655771
  18 16 -36.44469161655771
  5 17 34.43648091988713
  8 17 -34.43648091988713
  16 18 96.42700464856537
  18 18 -96.42700464856537
  6 19 18.114150650388922
  5 19 -18.114150650388922
  2 20 57.3939975212694
  19 20 -57.3939975212694
  9 21 16.827044019337645
  13 21 -16.827044019337645
  15 22 89.92361039218476
  5 22 -89.92361039218476
  20 23 53.63652890152736
  5 23 -53.63652890152736
  1 24 75.6922188393147
  13 24 -75.6922188393147
  9 25 54.129133383067824
  17 25 -54.129133383067824
  5 26 73.45312785218363
  7 26 -73.45312785218363
  20 27 93.63809135348916
  17 27 -93.63809135348916
  12 28 34.258244701636976
  11 28 -34.258244701636976
  16 29 47.927194289249044
  17 29 -47.927194289249044
  12 30 68.36502180658863
  7 30 -68.36502180658863
  10 31 27.963648075917362
  12 31 -27.963648075917362
  16 32 36.89488087626289
  12 32 -36.89488087626289
  11 33 34.638614669752634
  1 33 -34.638614669752634
  6 34 13.524543511042898
  14 34 -13.524543511042898
  7 35 70.74040692720061
  3 35 -70.74040692720061
  17 36 14.199827229201892
  19 36 -14.199827229201892
  10 37 46.19527623857013
  14 37 -46.19527623857013
  10 38 71.807578734327
  3 38 -71.807578734327
  2 39 98.61152090663174
  9 39 -98.61152090663174
  14 40 29.052480689278894
  18 40 -29.052480689278894
  5 41 66.21379625073195
  1 41 -66.21379625073195
  12 42 73.4868053863866
  13 42 -73.4868053863866
