param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 100;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 4)
  3 (1, 17)
  4 (1, 13)
  5 (1, 12)
  6 (2, 3)
  7 (2, 19)
  8 (2, 11)
  9 (2, 4)
  10 (2, 13)
  11 (2, 7)
  12 (2, 17)
  13 (2, 20)
  14 (3, 4)
  15 (3, 16)
  16 (3, 18)
  17 (3, 12)
  18 (3, 9)
  19 (4, 5)
  20 (4, 19)
  21 (4, 3)
  22 (4, 12)
  23 (4, 15)
  24 (4, 10)
  25 (5, 6)
  26 (5, 8)
  27 (5, 3)
  28 (5, 12)
  29 (5, 1)
  30 (5, 11)
  31 (5, 9)
  32 (6, 7)
  33 (6, 3)
  34 (6, 15)
  35 (6, 18)
  36 (6, 10)
  37 (6, 11)
  38 (7, 8)
  39 (7, 5)
  40 (7, 15)
  41 (7, 12)
  42 (7, 20)
  43 (7, 9)
  44 (7, 6)
  45 (7, 13)
  46 (8, 9)
  47 (8, 19)
  48 (8, 1)
  49 (8, 5)
  50 (8, 7)
  51 (8, 12)
  52 (8, 14)
  53 (9, 10)
  54 (9, 11)
  55 (9, 16)
  56 (9, 7)
  57 (9, 17)
  58 (9, 20)
  59 (10, 11)
  60 (10, 14)
  61 (10, 15)
  62 (11, 12)
  63 (11, 13)
  64 (11, 17)
  65 (11, 8)
  66 (11, 1)
  67 (12, 13)
  68 (12, 9)
  69 (12, 8)
  70 (12, 4)
  71 (12, 18)
  72 (13, 14)
  73 (13, 18)
  74 (13, 2)
  75 (13, 16)
  76 (13, 19)
  77 (13, 5)
  78 (13, 12)
  79 (14, 15)
  80 (14, 5)
  81 (14, 20)
  82 (14, 3)
  83 (15, 16)
  84 (15, 18)
  85 (15, 13)
  86 (15, 5)
  87 (16, 17)
  88 (16, 11)
  89 (16, 15)
  90 (16, 8)
  91 (16, 12)
  92 (16, 19)
  93 (17, 18)
  94 (17, 15)
  95 (17, 7)
  96 (17, 16)
  97 (17, 4)
  98 (17, 13)
  99 (17, 2)
  100 (17, 14)
  101 (17, 8)
  102 (18, 19)
  103 (18, 5)
  104 (18, 7)
  105 (18, 11)
  106 (18, 12)
  107 (18, 14)
  108 (19, 20)
  109 (19, 6)
  110 (19, 2)
  111 (19, 4)
  112 (19, 16)
  113 (19, 14)
  114 (19, 10)
  115 (20, 1)
  116 (20, 8)
  117 (20, 9)
  118 (20, 3)
  119 (20, 18)
  120 (20, 14)
;
param NodesCommoditiesDemand :=
  20 1 63.19794091286828
  1 1 -63.19794091286828
  11 2 28.57323996179842
  3 2 -28.57323996179842
  10 3 68.14612523948526
  4 3 -68.14612523948526
  20 4 34.56874066954413
  11 4 -34.56874066954413
  2 5 47.00629673340551
  3 5 -47.00629673340551
  9 6 70.74716189888836
  14 6 -70.74716189888836
  15 7 54.753894823081176
  14 7 -54.753894823081176
  10 8 62.48449742033538
  20 8 -62.48449742033538
  5 9 48.710837518648404
  10 9 -48.710837518648404
  11 10 65.47687116388522
  20 10 -65.47687116388522
  20 11 33.03719923756183
  10 11 -33.03719923756183
  4 12 20.129909581757335
  17 12 -20.129909581757335
  15 13 83.18170210811826
  16 13 -83.18170210811826
  18 14 81.75181374472176
  20 14 -81.75181374472176
  13 15 23.322951136702788
  5 15 -23.322951136702788
  9 16 33.62960693920138
  18 16 -33.62960693920138
  5 17 29.50791706151049
  8 17 -29.50791706151049
  16 18 80.21872339204343
  18 18 -80.21872339204343
  6 19 17.96147943215752
  5 19 -17.96147943215752
  2 20 49.7359482502812
  19 20 -49.7359482502812
  9 21 15.653310199885087
  13 21 -15.653310199885087
  15 22 83.91659280128121
  5 22 -83.91659280128121
  20 23 49.24637084372428
  5 23 -49.24637084372428
  1 24 65.74992589563179
  13 24 -65.74992589563179
  9 25 52.97688216964556
  17 25 -52.97688216964556
  5 26 64.03456683106806
  7 26 -64.03456683106806
  20 27 78.931535905618
  17 27 -78.931535905618
  12 28 27.447615576900777
  11 28 -27.447615576900777
  16 29 39.47723364374122
  17 29 -39.47723364374122
  12 30 61.53774306627054
  7 30 -61.53774306627054
  10 31 24.956354794129812
  12 31 -24.956354794129812
  16 32 31.0508473784145
  12 32 -31.0508473784145
  11 33 31.399277208286016
  1 33 -31.399277208286016
  6 34 11.244609285509258
  14 34 -11.244609285509258
  7 35 65.05503423901442
  3 35 -65.05503423901442
  17 36 13.191843774737636
  19 36 -13.191843774737636
  10 37 40.90190111540461
  14 37 -40.90190111540461
  10 38 61.95989706476603
  3 38 -61.95989706476603
  2 39 82.7834229617807
  9 39 -82.7834229617807
  14 40 26.734867452154777
  18 40 -26.734867452154777
  5 41 54.79218648084809
  1 41 -54.79218648084809
  12 42 64.85655113630277
  13 42 -64.85655113630277
