param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 40;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 19)
  3 (1, 17)
  4 (1, 7)
  5 (1, 18)
  6 (1, 4)
  7 (1, 15)
  8 (1, 20)
  9 (1, 8)
  10 (1, 3)
  11 (1, 11)
  12 (1, 10)
  13 (2, 3)
  14 (2, 10)
  15 (2, 6)
  16 (2, 9)
  17 (2, 7)
  18 (2, 1)
  19 (2, 17)
  20 (3, 4)
  21 (3, 9)
  22 (3, 14)
  23 (3, 18)
  24 (3, 11)
  25 (4, 5)
  26 (4, 10)
  27 (4, 2)
  28 (4, 18)
  29 (4, 15)
  30 (4, 11)
  31 (5, 6)
  32 (5, 9)
  33 (5, 13)
  34 (5, 3)
  35 (5, 16)
  36 (6, 7)
  37 (6, 13)
  38 (6, 11)
  39 (6, 8)
  40 (6, 14)
  41 (6, 15)
  42 (7, 8)
  43 (7, 3)
  44 (7, 13)
  45 (7, 19)
  46 (7, 9)
  47 (7, 18)
  48 (8, 9)
  49 (8, 5)
  50 (8, 7)
  51 (8, 6)
  52 (8, 10)
  53 (8, 17)
  54 (9, 10)
  55 (9, 6)
  56 (9, 4)
  57 (9, 16)
  58 (9, 17)
  59 (9, 8)
  60 (9, 13)
  61 (10, 11)
  62 (10, 16)
  63 (10, 12)
  64 (11, 12)
  65 (11, 20)
  66 (11, 15)
  67 (11, 7)
  68 (12, 13)
  69 (12, 15)
  70 (12, 20)
  71 (12, 18)
  72 (12, 10)
  73 (12, 17)
  74 (12, 3)
  75 (12, 4)
  76 (13, 14)
  77 (13, 19)
  78 (13, 16)
  79 (13, 20)
  80 (14, 15)
  81 (14, 10)
  82 (14, 5)
  83 (14, 4)
  84 (14, 20)
  85 (14, 16)
  86 (14, 3)
  87 (15, 16)
  88 (15, 17)
  89 (15, 14)
  90 (15, 12)
  91 (15, 2)
  92 (15, 4)
  93 (16, 17)
  94 (16, 5)
  95 (16, 9)
  96 (16, 6)
  97 (16, 11)
  98 (16, 19)
  99 (16, 1)
  100 (16, 7)
  101 (16, 14)
  102 (17, 18)
  103 (17, 5)
  104 (17, 14)
  105 (17, 12)
  106 (18, 19)
  107 (18, 4)
  108 (18, 7)
  109 (18, 1)
  110 (18, 20)
  111 (19, 20)
  112 (19, 12)
  113 (19, 1)
  114 (19, 16)
  115 (19, 5)
  116 (20, 1)
  117 (20, 19)
  118 (20, 18)
  119 (20, 11)
  120 (20, 6)
;
param NodesCommoditiesDemand :=
  4 1 67.51749727175724
  17 1 -67.51749727175724
  19 2 30.825827557667072
  12 2 -30.825827557667072
  10 3 82.39459943269716
  4 3 -82.39459943269716
  9 4 42.36525053838922
  14 4 -42.36525053838922
  7 5 53.87385546088682
  5 5 -53.87385546088682
  16 6 85.96447984076451
  7 6 -85.96447984076451
  7 7 53.31054545043726
  12 7 -53.31054545043726
  4 8 69.07784454141323
  5 8 -69.07784454141323
  14 9 56.57207414445348
  7 9 -56.57207414445348
  4 10 70.82532127981229
  13 10 -70.82532127981229
  20 11 34.991623502619476
  1 11 -34.991623502619476
  1 12 22.80231983417899
  17 12 -22.80231983417899
  9 13 90.24780963555315
  1 13 -90.24780963555315
  14 14 101.48266689335534
  3 14 -101.48266689335534
  20 15 24.428212526535127
  18 15 -24.428212526535127
  14 16 35.879032245642634
  20 16 -35.879032245642634
  16 17 32.53980302125028
  8 17 -32.53980302125028
  20 18 86.67449858421021
  10 18 -86.67449858421021
  8 19 18.759628227206406
  13 19 -18.759628227206406
  3 20 56.14398854112538
  5 20 -56.14398854112538
  17 21 16.30239707945529
  4 21 -16.30239707945529
  15 22 86.1993560705353
  7 22 -86.1993560705353
