param: Demand :=
SingleBus 1 382.100010848
SingleBus 2 350.218356054
SingleBus 3 421.301309875
SingleBus 4 413.426501759
SingleBus 5 416.897249266
SingleBus 6 448.986597266
SingleBus 7 511.379354522
SingleBus 8 598.226295588
SingleBus 9 639.823627304
SingleBus 10 676.92287519
SingleBus 11 696.764574642
SingleBus 12 820.108909482
SingleBus 13 815.289109985
SingleBus 14 813.100143731
SingleBus 15 707.548635351
SingleBus 16 702.288409584
SingleBus 17 729.797806482
SingleBus 18 605.658740865
SingleBus 19 598.768791009
SingleBus 20 568.435332066
SingleBus 21 555.763513896
SingleBus 22 514.769947856
SingleBus 23 375.63749152
SingleBus 24 393.576296631
SingleBus 25 383.382032377
SingleBus 26 341.557252487
SingleBus 27 423.966963251
SingleBus 28 407.078099472
SingleBus 29 405.984938861
SingleBus 30 435.668453471
SingleBus 31 525.176783121
SingleBus 32 591.969863743
SingleBus 33 630.620712684
SingleBus 34 681.596597134
SingleBus 35 706.198245018
SingleBus 36 798.537630262
SingleBus 37 805.761225434
SingleBus 38 815.717770856
SingleBus 39 710.993356239
SingleBus 40 701.936733045
SingleBus 41 737.758719009
SingleBus 42 610.433172805
SingleBus 43 587.086625647
SingleBus 44 569.120882753
SingleBus 45 563.852947582
SingleBus 46 525.413863333
SingleBus 47 386.026905813
SingleBus 48 391.359255593
;
