param: Demand :=
SingleBus 1 377.94701426
SingleBus 2 332.178758758
SingleBus 3 418.666025563
SingleBus 4 403.311965987
SingleBus 5 407.390351228
SingleBus 6 438.526519546
SingleBus 7 515.791041277
SingleBus 8 592.448265889
SingleBus 9 643.818172262
SingleBus 10 653.032377299
SingleBus 11 683.413190874
SingleBus 12 813.898503572
SingleBus 13 791.903103116
SingleBus 14 820.009703234
SingleBus 15 715.534532873
SingleBus 16 697.475456814
SingleBus 17 731.642321778
SingleBus 18 599.289894885
SingleBus 19 583.945935024
SingleBus 20 550.826056413
SingleBus 21 546.397578878
SingleBus 22 514.210072018
SingleBus 23 383.98571421
SingleBus 24 392.731302619
SingleBus 25 366.07612811
SingleBus 26 345.206179831
SingleBus 27 407.422369561
SingleBus 28 402.79282619
SingleBus 29 412.043684618
SingleBus 30 440.067644422
SingleBus 31 515.971774466
SingleBus 32 576.117872352
SingleBus 33 626.457030097
SingleBus 34 654.66690872
SingleBus 35 692.18544147
SingleBus 36 799.055396237
SingleBus 37 813.127976289
SingleBus 38 797.612050529
SingleBus 39 716.59361485
SingleBus 40 698.669997544
SingleBus 41 722.081686506
SingleBus 42 600.455905053
SingleBus 43 583.467612026
SingleBus 44 567.581889978
SingleBus 45 566.686458001
SingleBus 46 517.005745527
SingleBus 47 379.056144673
SingleBus 48 391.539669226
;
