param NumNodes := 20;
param NumArcs := 120;
param NumCommodities := 200;
param ArcsNodes :=
  1 (1, 2)
  2 (1, 16)
  3 (1, 11)
  4 (1, 19)
  5 (1, 17)
  6 (1, 14)
  7 (2, 3)
  8 (2, 9)
  9 (2, 11)
  10 (2, 18)
  11 (3, 4)
  12 (3, 1)
  13 (3, 7)
  14 (3, 15)
  15 (3, 12)
  16 (4, 5)
  17 (4, 15)
  18 (4, 14)
  19 (4, 3)
  20 (4, 19)
  21 (5, 6)
  22 (5, 1)
  23 (5, 2)
  24 (5, 8)
  25 (5, 11)
  26 (6, 7)
  27 (6, 8)
  28 (6, 18)
  29 (6, 15)
  30 (6, 17)
  31 (7, 8)
  32 (7, 13)
  33 (7, 16)
  34 (7, 11)
  35 (7, 12)
  36 (7, 18)
  37 (7, 5)
  38 (7, 19)
  39 (7, 3)
  40 (8, 9)
  41 (8, 15)
  42 (8, 2)
  43 (8, 20)
  44 (9, 10)
  45 (9, 6)
  46 (9, 16)
  47 (9, 20)
  48 (9, 19)
  49 (9, 13)
  50 (9, 8)
  51 (10, 11)
  52 (10, 4)
  53 (10, 1)
  54 (10, 17)
  55 (10, 16)
  56 (11, 12)
  57 (11, 2)
  58 (11, 9)
  59 (11, 1)
  60 (12, 13)
  61 (12, 9)
  62 (12, 15)
  63 (12, 10)
  64 (12, 16)
  65 (12, 17)
  66 (12, 7)
  67 (13, 14)
  68 (13, 17)
  69 (13, 9)
  70 (13, 5)
  71 (13, 20)
  72 (14, 15)
  73 (14, 3)
  74 (14, 20)
  75 (14, 7)
  76 (14, 2)
  77 (14, 9)
  78 (14, 17)
  79 (15, 16)
  80 (15, 3)
  81 (15, 10)
  82 (15, 11)
  83 (15, 9)
  84 (15, 20)
  85 (16, 17)
  86 (16, 15)
  87 (16, 8)
  88 (16, 19)
  89 (16, 1)
  90 (16, 9)
  91 (17, 18)
  92 (17, 9)
  93 (17, 10)
  94 (17, 3)
  95 (17, 12)
  96 (18, 19)
  97 (18, 9)
  98 (18, 14)
  99 (18, 13)
  100 (18, 16)
  101 (18, 17)
  102 (18, 7)
  103 (18, 12)
  104 (18, 3)
  105 (18, 8)
  106 (19, 20)
  107 (19, 9)
  108 (19, 12)
  109 (19, 15)
  110 (19, 4)
  111 (19, 1)
  112 (20, 1)
  113 (20, 19)
  114 (20, 12)
  115 (20, 5)
  116 (20, 4)
  117 (20, 18)
  118 (20, 13)
  119 (20, 14)
  120 (20, 11)
;
param NodesCommoditiesDemand :=
  5 1 74.57120000779928
  2 1 -74.57120000779928
  8 2 30.533510930777645
  16 2 -30.533510930777645
  7 3 77.00683710822847
  16 3 -77.00683710822847
  7 4 40.33010246136824
  9 4 -40.33010246136824
  4 5 47.994744190659944
  3 5 -47.994744190659944
  9 6 81.86515494132559
  1 6 -81.86515494132559
  3 7 55.41156673250943
  5 7 -55.41156673250943
  14 8 71.52396657357153
  8 8 -71.52396657357153
  3 9 59.024268146570876
  7 9 -59.024268146570876
  11 10 73.7178892514015
  5 10 -73.7178892514015
  18 11 33.04752918517933
  4 11 -33.04752918517933
  2 12 20.849925293206127
  5 12 -20.849925293206127
  20 13 91.50631867037383
  13 13 -91.50631867037383
  10 14 96.14953245926941
  12 14 -96.14953245926941
  15 15 26.271127533972674
  14 15 -26.271127533972674
  10 16 40.313188830388526
  11 16 -40.313188830388526
  6 17 32.444720868175025
  15 17 -32.444720868175025
  11 18 102.70094998350571
  19 18 -102.70094998350571
  10 19 18.451177273475185
  5 19 -18.451177273475185
  5 20 56.271168010786965
  6 20 -56.271168010786965
  7 21 17.568859351188753
  18 21 -17.568859351188753
  17 22 95.76938037502379
  2 22 -95.76938037502379
  3 23 58.2031388076437
  4 23 -58.2031388076437
  20 24 73.6291431433828
  19 24 -73.6291431433828
  5 25 55.582514630441395
  16 25 -55.582514630441395
  4 26 72.401791697982
  19 26 -72.401791697982
  6 27 95.17164289293677
  1 27 -95.17164289293677
  9 28 31.133031136529702
  15 28 -31.133031136529702
  12 29 47.31600125690612
  15 29 -47.31600125690612
  1 30 69.94286103856422
  9 30 -69.94286103856422
  17 31 26.012303128247492
  18 31 -26.012303128247492
  19 32 35.43219754407365
  12 32 -35.43219754407365
  9 33 37.974705995945776
  2 33 -37.974705995945776
  14 34 13.379298014006633
  19 34 -13.379298014006633
  12 35 75.87897310451412
  17 35 -75.87897310451412
  20 36 15.317748716716688
  16 36 -15.317748716716688
  15 37 51.99131239602707
  1 37 -51.99131239602707
  13 38 69.38480991261574
  9 38 -69.38480991261574
  2 39 100.66699632974893
  18 39 -100.66699632974893
  9 40 31.37603066701302
  18 40 -31.37603066701302
  11 41 62.37687001585851
  20 41 -62.37687001585851
  1 42 81.78836206539353
  7 42 -81.78836206539353
  2 43 12.599005275309992
  8 43 -12.599005275309992
  6 44 78.87016101079254
  4 44 -78.87016101079254
  19 45 82.3164289448088
  11 45 -82.3164289448088
  3 46 26.19937153986084
  16 46 -26.19937153986084
  5 47 27.478071653047138
  19 47 -27.478071653047138
  4 48 9.81988610309894
  2 48 -9.81988610309894
  9 49 25.442237347986598
  20 49 -25.442237347986598
  10 50 78.30443136347762
  1 50 -78.30443136347762
  13 51 17.553774547744265
  12 51 -17.553774547744265
  7 52 63.97400925895762
  3 52 -63.97400925895762
  15 53 48.60043090905692
  11 53 -48.60043090905692
  18 54 13.942415596903015
  9 54 -13.942415596903015
  14 55 89.80286029934875
  1 55 -89.80286029934875
  13 56 17.686434121840957
  20 56 -17.686434121840957
  7 57 63.331472601870125
  10 57 -63.331472601870125
  14 58 22.884724400881385
  18 58 -22.884724400881385
  11 59 68.09775330744947
  1 59 -68.09775330744947
  13 60 10.843060537678245
  18 60 -10.843060537678245
  6 61 97.54444059893888
  9 61 -97.54444059893888
  15 62 57.602840833112914
  12 62 -57.602840833112914
  2 63 63.342301248187596
  9 63 -63.342301248187596
  13 64 56.51022668888493
