param: Demand :=
SingleBus 1 361.935478169
SingleBus 2 326.835081844
SingleBus 3 399.680811895
SingleBus 4 391.364636807
SingleBus 5 394.891447177
SingleBus 6 431.000139659
SingleBus 7 486.980380932
SingleBus 8 572.164190164
SingleBus 9 607.429857184
SingleBus 10 644.413032148
SingleBus 11 667.29570889
SingleBus 12 775.118648873
SingleBus 13 785.100139882
SingleBus 14 789.764546019
SingleBus 15 699.428146373
SingleBus 16 687.969208851
SingleBus 17 695.362763431
SingleBus 18 603.09078177
SingleBus 19 578.824840812
SingleBus 20 558.990909175
SingleBus 21 540.609129938
SingleBus 22 486.593962292
SingleBus 23 371.051808539
SingleBus 24 390.583724451
SingleBus 25 367.624344298
SingleBus 26 324.437776227
SingleBus 27 395.649731699
SingleBus 28 399.643831267
SingleBus 29 400.392694326
SingleBus 30 417.009308498
SingleBus 31 493.42907589
SingleBus 32 561.428125176
SingleBus 33 612.647319262
SingleBus 34 638.013718393
SingleBus 35 676.38661921
SingleBus 36 777.695605267
SingleBus 37 769.023614786
SingleBus 38 784.55490536
SingleBus 39 676.630199198
SingleBus 40 678.75630723
SingleBus 41 714.682530697
SingleBus 42 595.493046717
SingleBus 43 573.192245575
SingleBus 44 552.486336045
SingleBus 45 548.354366253
SingleBus 46 496.242574891
SingleBus 47 360.273797915
SingleBus 48 377.545761047
;
