param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 156.8377514546839
WIND 2 155.23217007739723
WIND 3 152.8751285644737
WIND 4 143.29813684399056
WIND 5 136.47179353355634
WIND 6 161.3331824937671
WIND 7 143.02018658257307
WIND 8 167.7383541946969
WIND 9 114.61797107852327
WIND 10 100.39052158083318
WIND 11 90.69468830008896
WIND 12 164.50886849438018
WIND 13 96.60077661700684
WIND 14 87.55448668205648
WIND 15 142.88209847187605
WIND 16 95.1247369177258
WIND 17 129.3411825583714
WIND 18 96.87674506996228
WIND 19 135.41330605986585
WIND 20 152.8878418902504
WIND 21 151.85449923025345
WIND 22 150.27814212304182
WIND 23 147.27679324914047
WIND 24 147.73168594238558
WIND 25 147.73168594238558
WIND 26 147.73168594238558
WIND 27 147.73168594238558
WIND 28 147.73168594238558
WIND 29 147.73168594238558
WIND 30 147.73168594238558
WIND 31 147.73168594238558
WIND 32 147.73168594238558
WIND 33 147.73168594238558
WIND 34 147.73168594238558
WIND 35 147.73168594238558
WIND 36 147.73168594238558
WIND 37 147.73168594238558
WIND 38 147.73168594238558
WIND 39 147.73168594238558
WIND 40 147.73168594238558
WIND 41 147.73168594238558
WIND 42 147.73168594238558
WIND 43 147.73168594238558
WIND 44 147.73168594238558
WIND 45 147.73168594238558
WIND 46 147.73168594238558
WIND 47 147.73168594238558
WIND 48 147.73168594238558
;


