param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 61.0063145520807
WIND 2 61.17684918234499
WIND 3 61.703411135612875
WIND 4 72.35779634373034
WIND 5 58.24778467092803
WIND 6 55.44451412335841
WIND 7 60.51298212217495
WIND 8 64.0342122645651
WIND 9 15.90242419243645
WIND 10 0.6063187871384628
WIND 11 0.14706155713815008
WIND 12 0.025180738131666658
WIND 13 0.027854967959052603
WIND 14 2.326725571477073
WIND 15 9.30946956169782
WIND 16 8.911499001702806
WIND 17 37.622124102745566
WIND 18 40.26746315688268
WIND 19 47.481000353006635
WIND 20 63.57792079719052
WIND 21 78.6976993093423
WIND 22 71.43909660727174
WIND 23 57.74925690849806
WIND 24 64.73212463417183
WIND 25 64.73212463417183
WIND 26 64.73212463417183
WIND 27 64.73212463417183
WIND 28 64.73212463417183
WIND 29 64.73212463417183
WIND 30 64.73212463417183
WIND 31 64.73212463417183
WIND 32 64.73212463417183
WIND 33 64.73212463417183
WIND 34 64.73212463417183
WIND 35 64.73212463417183
WIND 36 64.73212463417183
WIND 37 64.73212463417183
WIND 38 64.73212463417183
WIND 39 64.73212463417183
WIND 40 64.73212463417183
WIND 41 64.73212463417183
WIND 42 64.73212463417183
WIND 43 64.73212463417183
WIND 44 64.73212463417183
WIND 45 64.73212463417183
WIND 46 64.73212463417183
WIND 47 64.73212463417183
WIND 48 64.73212463417183
;


