param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 88.93589791533816
WIND 2 60.26654517816039
WIND 3 39.99460399239997
WIND 4 44.626732975142005
WIND 5 41.14549438899158
WIND 6 40.88308395510591
WIND 7 41.55284618962146
WIND 8 49.99095587596929
WIND 9 7.868322945445988
WIND 10 0.8786574498994242
WIND 11 0.7888903443136228
WIND 12 0.3317778696915298
WIND 13 0.7169817292619767
WIND 14 1.3403230667139412
WIND 15 5.89663128552508
WIND 16 10.015846916077
WIND 17 41.189470402310825
WIND 18 33.97986654017066
WIND 19 55.500632688309764
WIND 20 45.01745695228843
WIND 21 32.63949528367373
WIND 22 23.42485601062131
WIND 23 33.67282155808425
WIND 24 55.80929682896883
WIND 25 55.80929682896883
WIND 26 55.80929682896883
WIND 27 55.80929682896883
WIND 28 55.80929682896883
WIND 29 55.80929682896883
WIND 30 55.80929682896883
WIND 31 55.80929682896883
WIND 32 55.80929682896883
WIND 33 55.80929682896883
WIND 34 55.80929682896883
WIND 35 55.80929682896883
WIND 36 55.80929682896883
WIND 37 55.80929682896883
WIND 38 55.80929682896883
WIND 39 55.80929682896883
WIND 40 55.80929682896883
WIND 41 55.80929682896883
WIND 42 55.80929682896883
WIND 43 55.80929682896883
WIND 44 55.80929682896883
WIND 45 55.80929682896883
WIND 46 55.80929682896883
WIND 47 55.80929682896883
WIND 48 55.80929682896883
;


