param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 79.89012843012108
WIND 2 77.78350652838603
WIND 3 97.75991016164689
WIND 4 94.53162065752201
WIND 5 70.33128248893937
WIND 6 72.81396106898823
WIND 7 70.20884095284218
WIND 8 78.94407996892255
WIND 9 27.00922182841548
WIND 10 0.5879799407671386
WIND 11 0.6163050270904534
WIND 12 0.20678705545868753
WIND 13 0.16602691795541774
WIND 14 2.5138536306875325
WIND 15 4.407263417173708
WIND 16 9.612667921344816
WIND 17 50.108746540489506
WIND 18 60.308581050680075
WIND 19 96.61521882151953
WIND 20 98.33421797041797
WIND 21 95.5224729559754
WIND 22 103.6079328348847
WIND 23 89.47357778595259
WIND 24 78.40382589476394
WIND 25 78.40382589476394
WIND 26 78.40382589476394
WIND 27 78.40382589476394
WIND 28 78.40382589476394
WIND 29 78.40382589476394
WIND 30 78.40382589476394
WIND 31 78.40382589476394
WIND 32 78.40382589476394
WIND 33 78.40382589476394
WIND 34 78.40382589476394
WIND 35 78.40382589476394
WIND 36 78.40382589476394
WIND 37 78.40382589476394
WIND 38 78.40382589476394
WIND 39 78.40382589476394
WIND 40 78.40382589476394
WIND 41 78.40382589476394
WIND 42 78.40382589476394
WIND 43 78.40382589476394
WIND 44 78.40382589476394
WIND 45 78.40382589476394
WIND 46 78.40382589476394
WIND 47 78.40382589476394
WIND 48 78.40382589476394
;


