param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 148.08969990532933
WIND 2 146.31428011895602
WIND 3 138.11074991700025
WIND 4 123.82778636192793
WIND 5 123.8934143860526
WIND 6 136.90772784718038
WIND 7 99.5609254156532
WIND 8 106.57399381346077
WIND 9 48.499154637855106
WIND 10 33.25268531972041
WIND 11 29.44460541350247
WIND 12 33.40343945365816
WIND 13 20.737127445918347
WIND 14 18.59795648801823
WIND 15 32.51713757568382
WIND 16 38.09005717946775
WIND 17 90.09552498566939
WIND 18 75.17544982260803
WIND 19 108.0313506864971
WIND 20 131.35413088049197
WIND 21 131.88566074600107
WIND 22 123.94479172127686
WIND 23 112.5439702978328
WIND 24 96.33656239567051
WIND 25 96.33656239567051
WIND 26 96.33656239567051
WIND 27 96.33656239567051
WIND 28 96.33656239567051
WIND 29 96.33656239567051
WIND 30 96.33656239567051
WIND 31 96.33656239567051
WIND 32 96.33656239567051
WIND 33 96.33656239567051
WIND 34 96.33656239567051
WIND 35 96.33656239567051
WIND 36 96.33656239567051
WIND 37 96.33656239567051
WIND 38 96.33656239567051
WIND 39 96.33656239567051
WIND 40 96.33656239567051
WIND 41 96.33656239567051
WIND 42 96.33656239567051
WIND 43 96.33656239567051
WIND 44 96.33656239567051
WIND 45 96.33656239567051
WIND 46 96.33656239567051
WIND 47 96.33656239567051
WIND 48 96.33656239567051
;


