param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 147.51255351611167
WIND 2 145.46687332246105
WIND 3 140.2393546059219
WIND 4 128.45467482704606
WIND 5 117.5517577762514
WIND 6 128.86975569145042
WIND 7 130.97188480738785
WIND 8 165.66739059093447
WIND 9 103.61414558763494
WIND 10 95.47819218804084
WIND 11 87.04097043733763
WIND 12 129.24310627906164
WIND 13 88.20864757096192
WIND 14 98.3928837070809
WIND 15 168.6885563334159
WIND 16 114.73771910579181
WIND 17 172.02960835057183
WIND 18 109.08346969901677
WIND 19 128.694162195508
WIND 20 143.76129834659812
WIND 21 149.22530291643335
WIND 22 141.68545835600852
WIND 23 133.69373963272344
WIND 24 125.86185755154241
WIND 25 125.86185755154241
WIND 26 125.86185755154241
WIND 27 125.86185755154241
WIND 28 125.86185755154241
WIND 29 125.86185755154241
WIND 30 125.86185755154241
WIND 31 125.86185755154241
WIND 32 125.86185755154241
WIND 33 125.86185755154241
WIND 34 125.86185755154241
WIND 35 125.86185755154241
WIND 36 125.86185755154241
WIND 37 125.86185755154241
WIND 38 125.86185755154241
WIND 39 125.86185755154241
WIND 40 125.86185755154241
WIND 41 125.86185755154241
WIND 42 125.86185755154241
WIND 43 125.86185755154241
WIND 44 125.86185755154241
WIND 45 125.86185755154241
WIND 46 125.86185755154241
WIND 47 125.86185755154241
WIND 48 125.86185755154241
;


