param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 119.33221529764333
WIND 2 116.10375210914736
WIND 3 117.4108001861103
WIND 4 104.44614019417367
WIND 5 93.75962720988065
WIND 6 116.22441235351306
WIND 7 106.68039424498198
WIND 8 111.48612454915673
WIND 9 62.83375163386233
WIND 10 55.638439777609726
WIND 11 38.716447829149836
WIND 12 25.985813706016273
WIND 13 13.606000227235265
WIND 14 24.02507282013042
WIND 15 26.682473390237917
WIND 16 34.49682982231916
WIND 17 93.33205908584281
WIND 18 80.68511529564016
WIND 19 81.67946605512947
WIND 20 101.13664169346629
WIND 21 124.41495346964581
WIND 22 140.71709693358122
WIND 23 137.6380469398482
WIND 24 122.04843526164755
WIND 25 122.04843526164755
WIND 26 122.04843526164755
WIND 27 122.04843526164755
WIND 28 122.04843526164755
WIND 29 122.04843526164755
WIND 30 122.04843526164755
WIND 31 122.04843526164755
WIND 32 122.04843526164755
WIND 33 122.04843526164755
WIND 34 122.04843526164755
WIND 35 122.04843526164755
WIND 36 122.04843526164755
WIND 37 122.04843526164755
WIND 38 122.04843526164755
WIND 39 122.04843526164755
WIND 40 122.04843526164755
WIND 41 122.04843526164755
WIND 42 122.04843526164755
WIND 43 122.04843526164755
WIND 44 122.04843526164755
WIND 45 122.04843526164755
WIND 46 122.04843526164755
WIND 47 122.04843526164755
WIND 48 122.04843526164755
;


