param MinNondispatchablePower := 
WIND 1 0.0
WIND 2 0.0
WIND 3 0.0
WIND 4 0.0
WIND 5 0.0
WIND 6 0.0
WIND 7 0.0
WIND 8 0.0
WIND 9 0.0
WIND 10 0.0
WIND 11 0.0
WIND 12 0.0
WIND 13 0.0
WIND 14 0.0
WIND 15 0.0
WIND 16 0.0
WIND 17 0.0
WIND 18 0.0
WIND 19 0.0
WIND 20 0.0
WIND 21 0.0
WIND 22 0.0
WIND 23 0.0
WIND 24 0.0
WIND 25 0.0
WIND 26 0.0
WIND 27 0.0
WIND 28 0.0
WIND 29 0.0
WIND 30 0.0
WIND 31 0.0
WIND 32 0.0
WIND 33 0.0
WIND 34 0.0
WIND 35 0.0
WIND 36 0.0
WIND 37 0.0
WIND 38 0.0
WIND 39 0.0
WIND 40 0.0
WIND 41 0.0
WIND 42 0.0
WIND 43 0.0
WIND 44 0.0
WIND 45 0.0
WIND 46 0.0
WIND 47 0.0
WIND 48 0.0
;


param MaxNondispatchablePower := 
WIND 1 65.47260816626115
WIND 2 68.20820787487956
WIND 3 71.08892230090655
WIND 4 60.325599969162205
WIND 5 47.75250391367982
WIND 6 47.918833354078906
WIND 7 43.22250914941605
WIND 8 21.906739139335784
WIND 9 5.542355889642853
WIND 10 0.04834031244363928
WIND 11 0.0036500047349107946
WIND 12 0.0030229917856132715
WIND 13 0.11499537864522723
WIND 14 0.41907730335302634
WIND 15 0.7880358278485974
WIND 16 3.243944382517822
WIND 17 24.176979810767342
WIND 18 28.601988235513673
WIND 19 45.153517294085674
WIND 20 78.67963991899057
WIND 21 49.21083409210342
WIND 22 43.632606998255305
WIND 23 30.68528298257981
WIND 24 41.321290483503404
WIND 25 41.321290483503404
WIND 26 41.321290483503404
WIND 27 41.321290483503404
WIND 28 41.321290483503404
WIND 29 41.321290483503404
WIND 30 41.321290483503404
WIND 31 41.321290483503404
WIND 32 41.321290483503404
WIND 33 41.321290483503404
WIND 34 41.321290483503404
WIND 35 41.321290483503404
WIND 36 41.321290483503404
WIND 37 41.321290483503404
WIND 38 41.321290483503404
WIND 39 41.321290483503404
WIND 40 41.321290483503404
WIND 41 41.321290483503404
WIND 42 41.321290483503404
WIND 43 41.321290483503404
WIND 44 41.321290483503404
WIND 45 41.321290483503404
WIND 46 41.321290483503404
WIND 47 41.321290483503404
WIND 48 41.321290483503404
;


